rank,symbol,name,sector,total_score,trend_score,startup_score,sector_score,market_score,decision,continuation,buy_model,notes,risks,hard_rejects,plan
1,688981,中芯国际,STAR Market,80,40,25,12,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
2,688041,海光信息,STAR Market,76,40,21,12,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
3,688256,寒武纪,STAR Market,76,40,21,12,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
4,002156,通富微电,SZ Main Board,75,40,25,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
5,002185,华天科技,SZ Main Board,75,40,25,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
6,601138,工业富联,SH Main Board,73,40,25,5,3,只观察,弱延续,趋势回踩买点,中期结构清晰：趋势回踩、强势震荡再启动,板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：回踩5/10/20日线缩量企稳，并出现放量反包。 止损：跌破10日线、跌破启动阳线低点、放量阴线破位。
7,601869,长飞光纤,SH Main Board,73,40,25,5,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；个股可能不是板块前排；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
8,000021,深科技,SZ Main Board,71,40,21,7,3,只观察,弱延续,平台突破买点,中期结构清晰：平台突破,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：收盘站稳平台上沿，或次日不低开且回踩平台不破。 止损：跌回平台内部、跌破突破K低点、跌破5日线无法收回。
9,000657,中钨高新,SZ Main Board,71,40,21,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
10,000725,京东方Ａ,SZ Main Board,71,40,21,7,3,只观察,弱延续,强势震荡再启动,中期结构清晰：强势震荡再启动,回调缩量未确认；板块近2-3日未确认强于大盘；板块成交额未确认放大；板块排名不够靠前；指数未确认站上5日线和10日线；涨停溢价未确认；跌停/大面风险未确认较低；板块分低于参与线；大盘环境低于进攻线，必须降仓,,加入观察池；等待放量突破、缩量回踩确认或板块重新走强。 触发：补齐平台突破、趋势回踩或强势换手信号。 止损：跌破5日线、启动K低点或板块退潮。
